BLZ;name;city;shortName;BIC
28068218;Raiffeisenbank Butjadingen-Abbehausen;Butjadingen;Raiffbk Butjadingen-Abbehsn;GENODEF1BUT
28069052;Raiffeisenbank Strücklingen-Idafehn;Ostrhauderfehn;Raiffbk Strückl.-Idafehn;GENODEF1ORF
28069092;VR Bank Oldenburg Land West;Hatten, Oldb;VR Bank Oldenburg Land West;GENODEF1HAT
28069109;Volksbank Emstek;Emstek;Volksbank Emstek;GENODEF1EMK
28069128;Raiffeisenbank Garrel;Garrel;Raiffeisenbank Garrel;GENODEF1GRR
28069138;VR Bank Oldenburg Land West;Hatten, Oldb;VR Bank Oldenburg Land West;GENODEF1VAG
28069381;Hümmlinger Volksbank;Werlte, Emsl;Hümmlinger Volksbank;GENODEF1WLT
28069706;Volksbank Nordhümmling;Börger;Volksbank Nordhümmling;GENODEF1BOG
28069773;Raiffeisenbank Wiesedermeer-Wiesede-Marcardsm;Friedeburg, Ostfriesl;Raiffbk Wiesederm-Wiesede-M;GENODEF1WWM
28069878;Raiffeisenbank Emsland-Mitte;Klein Berßen;Raiffbk Emsland-Mitte;GENODEF1KBL
28069926;Volksbank Niedergrafschaft;Uelsen;VB Niedergrafschaft;GENODEF1HOO
28069930;Volksbank Langen-Gersten;Langen, Emsl;VB Langen-Gersten;GENODEF1LAG
28069935;Raiffeisenbank Lorup;Lorup;Raiffeisenbank Lorup;GENODEF1LRU
28069955;Volksbank Uelsen;Uelsen;Volksbank Uelsen;GENODEF1UEL
28069956;Grafschafter Volksbank;Nordhorn;Grafschafter Volksbank;GENODEF1NEV
28069991;Volksbank Emstal;Lathen;Volksbank Emstal;GENODEF1LTH
28069994;Volksbank Süd-Emsland;Spelle;Volksbank Süd-Emsland;GENODEF1SPL
28070024;Deutsche Bank Privat und Geschäftskunden;Oldenburg (Oldb);Deutsche Bank PGK Oldenburg;DEUTDEDB280
28070024;Deutsche Bank Privat und Geschäftskunden;Bad Zwischenahn;Deutsche Bank PGK Bad Zwisc;DEUTDEDB281
28070057;Deutsche Bank;Oldenburg (Oldb);Deutsche Bank Oldenburg;DEUTDEHB280
28070057;Deutsche Bank;Bad Zwischenahn;Deutsche Bank Bad Zwischena;DEUTDEHB281
28090633;apoBank;Oldenburg (Oldb);apoBank Oldenburg;DAAEDED1033
28220026;Oldenburgische Landesbank AG;Wilhelmshaven;Oldb Ldbank Wilhelmshaven;OLBODEH2XXX
28222208;Oldenburgische Landesbank AG;Jever;Oldb Landesbank Jever;OLBODEH2XXX
28222621;Oldenburgische Landesbank AG;Varel, Jadebusen;Oldb Landesbank Varel;OLBODEH2XXX
28240023;Commerzbank;Wilhelmshaven;Commerzbank Wilhelmshaven;COBADEFFXXX
28250110;Sparkasse Wilhelmshaven;Wilhelmshaven;Sparkasse Wilhelmshaven;BRLADE21WHV
28252760;Kreissparkasse Wittmund;Wittmund;Kr Spk Wittmund;BRLADE21WTM
28262254;Volksbank Jever;Jever;Volksbank Jever;GENODEF1JEV
28262673;Raiffeisen-Volksbank Varel-Nordenham;Varel, Jadebusen;Raiff-VB Varel-Nordenham;GENODEF1VAR
28270024;Deutsche Bank Privat und Geschäftskunden;Wilhelmshaven;Deutsche Bank PGK Wilhelmsh;DEUTDEDB282
28270024;Deutsche Bank Privat und Geschäftskunden;Jever;Deutsche Bank PGK Jever;DEUTDEDB283
28270056;Deutsche Bank;Wilhelmshaven;Deutsche Bank Wilhelmshaven;DEUTDEHB282
28270056;Deutsche Bank;Jever;Deutsche Bank Jever;DEUTDEHB283
28280012;Commerzbank vormals Dresdner Bank;Wilhelmshaven;Commerzbank Wilhelmshaven;DRESDEFF282
28290063;Volksbank Wilhelmshaven;Wilhelmshaven;Volksbank Wilhelmshaven;GENODEF1WHV
28291551;Volksbank Esens;Esens;VB Esens;GENODEF1ESE
28320014;Oldenburgische Landesbank AG;Norden, Ostfriesl;Oldb Landesbank Norden;OLBODEH2XXX
28321816;Oldenburgische Landesbank AG;Norderney;Oldb Landesbank Norderney;OLBODEH2XXX
28350000;Sparkasse Aurich-Norden;Aurich, Ostfriesland;Spk Aurich-Norden;BRLADE21ANO
28361592;Raiffeisen-Volksbank Fresena;Norden, Ostfriesl;Raiff-VB Fresena;GENODEF1MAR
28420007;Oldenburgische Landesbank AG;Emden, Ostfriesland;Oldb Landesbank Emden;OLBODEH2XXX
28421030;Oldenburgische Landesbank AG;Aurich, Ostfriesland;Oldb Landesbank Aurich;OLBODEH2XXX
28440037;Commerzbank;Emden, Ostfriesland;Commerzbank Emden;COBADEFFXXX
28450000;Sparkasse Emden;Emden, Ostfriesland;Sparkasse Emden;BRLADE21EMD
28470024;Deutsche Bank Privat und Geschäftskunden;Emden, Ostfriesland;Deutsche Bank PGK Emden;DEUTDEDB284
28470024;Deutsche Bank Privat und Geschäftskunden;Aurich, Ostfriesland;Deutsche Bank PGK Aurich;DEUTDEDB289
28470024;Deutsche Bank Privat und Geschäftskunden;Norden, Ostfriesl;Deutsche Bank PGK Norden;DEUTDEDB286
28470024;Deutsche Bank Privat und Geschäftskunden;Norderney;Deutsche Bank PGK Norderney;DEUTDEDB298
28470091;Deutsche Bank;Emden, Ostfriesland;Deutsche Bank Emden;DEUTDEHB284
28470091;Deutsche Bank;Aurich, Ostfriesland;Deutsche Bank Aurich;DEUTDEHB289
28470091;Deutsche Bank;Norden, Ostfriesl;Deutsche Bank Norden;DEUTDEHB286
28470091;Deutsche Bank;Norderney;Deutsche Bank Norderney;DEUTDEHB298
28520009;Oldenburgische Landesbank AG;Leer (Ostfriesland);Oldb Landesbank Leer;OLBODEH2XXX
28521518;Oldenburgische Landesbank AG;Papenburg;Oldb Landesbank Papenburg;OLBODEH2XXX
28540034;Commerzbank;Leer (Ostfriesland);Commerzbank Leer Ostfriesld;COBADEFFXXX
28550000;Sparkasse LeerWittmund;Leer (Ostfriesland);Sparkasse LeerWittmund;BRLADE21LER
28562297;Raiffeisen-Volksbank;Aurich, Ostfriesland;RVB Aurich;GENODEF1UPL
28562716;Raiffeisenbank Flachsmeer;Westoverledingen;Raiffbk Flachsmeer Westover;GENODEF1WEF
28563749;Raiffeisenbank;Moormerland;Raiffeisenbank Moormerland;GENODEF1MML
28570024;Deutsche Bank Privat und Geschäftskunden;Leer (Ostfriesland);Deutsche Bank PGK Leer;DEUTDEDB285
28570024;Deutsche Bank Privat und Geschäftskunden;Papenburg;Deutsche Bank PGK Papenburg;DEUTDEDB287
28570024;Deutsche Bank Privat und Geschäftskunden;Weener;Deutsche Bank PGK Weener;DEUTDEDB288
28570092;Deutsche Bank;Leer (Ostfriesland);Deutsche Bank Leer;DEUTDEHB285
28570092;Deutsche Bank;Papenburg;Deutsche Bank Papenburg;DEUTDEHB287
28570092;Deutsche Bank;Weener;Deutsche Bank Weener;DEUTDEHB288
28590075;Ostfriesische Volksbank Leer;Leer (Ostfriesland);Ostfriesische VB Leer;GENODEF1LER
28591579;Volksbank Papenburg Fil d. Ostfries. VB Leer;Papenburg;Volksbank Papenburg;GENODEF1PAP
28591654;Volksbank Westrhauderfehn;Rhauderfehn;Volksbank Westrhauderfehn;GENODEF1WRH
29000000;Bundesbank;Bremen;BBk Bremen;MARKDEF1290
29010111;SEB;Bremen;SEB Bremen;ESSEDE5F290
29010400;Deutsche Schiffsbank;Bremen;Deutsche Schiffsbank Bremen;DESBDE22XXX
29020000;Bankhaus Neelmeyer;Bremen;Bankhaus Neelmeyer Bremen;NEELDE22XXX
29020100;Bremer Kreditbank;Bremen;Bremer Kreditbank;BANVDEHBXXX
29020200;NordFinanz Bank;Bremen;NF Bank Bremen;NFHBDE21XXX
29020400;Deutsche Factoring Bank;Bremen;Factoring Bank Bremen;DFABDE21XXX
29030400;Bankhaus Carl F. Plump & CO;Bremen;Plumpbank Bremen;PLUMDE29XXX
29040060;Commerzbank CC;Bremen;Commerzbank CC Bremen;COBADEFFXXX
29040061;Commerzbank CC;Bremen;Commerzbank CC Bremen;COBADEFFXXX
29040090;Commerzbank;Bremen;Commerzbank Bremen;COBADEFFXXX
29050000;Bremer Landesbank;Bremen;Bremer Landesbank Bremen;BRLADE22XXX
29050000;Bremer Landesbank;Oldenburg (Oldb);Bremer Landesbank Oldenburg;BRLADE22OLD
29050101;Sparkasse Bremen;Bremen;Spk Bremen;SBREDE22XXX
29070024;Deutsche Bank Privat und Geschäftskunden;Bremen;Deutsche Bank PGK Bremen;DEUTDEDBBRE
29070024;Deutsche Bank Privat und Geschäftskunden;Achim b Bremen;Deutsche Bank PGK Achim;DEUTDEDB295
29070024;Deutsche Bank Privat und Geschäftskunden;Bremerhaven;Deutsche Bank PGK Bremerhav;DEUTDEDB292
29070024;Deutsche Bank Privat und Geschäftskunden;Cloppenburg;Deutsche Bank PGK Cloppenbg;DEUTDEDB293
29070024;Deutsche Bank Privat und Geschäftskunden;Delmenhorst;Deutsche Bank PGK Delmenh;DEUTDEDB294
29070024;Deutsche Bank Privat und Geschäftskunden;Lohne (Oldenburg);Deutsche Bank PGK Lohne;DEUTDEDB296
29070024;Deutsche Bank Privat und Geschäftskunden;Osterholz-Scharmbeck;Deutsche Bank PGK Osterholz;DEUTDEDB297
29070024;Deutsche Bank Privat und Geschäftskunden;Vechta;Deutsche Bank PGK Vechta;DEUTDEDB290
29070050;Deutsche Bank;Bremen;Deutsche Bank Bremen;DEUTDEHBXXX
29070050;Deutsche Bank;Achim b Bremen;Deutsche Bank Achim Bremen;DEUTDEHB295
29070050;Deutsche Bank;Osterholz-Scharmbeck;Deutsche Bank Osterholz-Sch;DEUTDEHB297
29070051;Deutsche Bank;Bremerhaven;Deutsche Bank Bremerhaven;DEUTDEHB292
29070052;Deutsche Bank;Delmenhorst;Deutsche Bank Delmenhorst;DEUTDEHB294
29070058;Deutsche Bank;Cloppenburg;Deutsche Bank Cloppenburg;DEUTDEHB293
29070059;Deutsche Bank;Vechta;Deutsche Bank Vechta;DEUTDEHB290
29070059;Deutsche Bank;Lohne (Oldenburg);Deutsche Bank Lohne Oldenbg;DEUTDEHB296
29080010;Commerzbank vormals Bremer Bank (Dresdner Bank);Bremen;Commerzbank Bremen;DRESDEFF290
29089210;Commerzbank vormals Bremer Bank (Dresdner Bank) ITGK;Bremen;Commerzbank ITGK Bremen;DRESDEFFI13
29090605;apoBank;Bremen;apoBank Bremen;DAAEDED1005
29090900;PSD Bank Nord;Bremen;PSD Bank Nord Bremen;GENODEF1P03
29121731;Oldenburgische Landesbank AG;Syke;Oldb Landesbank Syke;OLBODEH2XXX
29151700;Kreissparkasse Syke;Syke;Kreissparkasse Syke;BRLADE21SYK
29152300;Kreissparkasse Osterholz;Osterholz-Scharmbeck;Kr Spk Osterholz;BRLADE21OHZ
29152550;Zweckverbandssparkasse Scheeßel;Scheeßel;Spk Scheeßel;BRLADE21SHL
29152670;Kreissparkasse Verden;Verden (Aller);Kr Spk Verden;BRLADE21VER
29162394;Volksbank;Osterholz-Scharmbeck;Volksbank;GENODEF1OHZ
29162453;Volksbank Schwanewede;Schwanewede;Volksbank Schwanewede;GENODEF1SWW
29162697;Volksbank Aller-Weser;Verden (Aller);Volksbank Aller-Weser;GENODEF1VER
29165545;Volksbank Oyten;Oyten;Volksbank Oyten;GENODEF1OYT
29165681;Volksbank Sottrum;Sottrum, Kr Rotenburg, Wümme;Volksbank Sottrum;GENODEF1SUM
29166568;Volksbank;Worpswede;Volksbank Worpswede;GENODEF1WOP
29167624;Volksbank Syke;Syke;Volksbank Syke;GENODEF1SHR
29172624;Deutsche Bank Privat und Geschäftskunden;Verden (Aller);Deutsche Bank PGK Verden;DEUTDEDB291
29172655;Deutsche Bank;Verden (Aller);Deutsche Bank Verden;DEUTDEHB291
29190024;Bremische Volksbank;Bremen;Bremische Volksbank;GENODEF1HB1
29190330;Volksbank Bremen-Nord;Bremen;Volksbank Bremen-Nord;GENODEF1HB2
29210111;SEB;Bremerhaven;SEB Bremerhaven;ESSEDE5F292
29240024;Commerzbank;Bremerhaven;Commerzbank Bremerhaven;COBADEFFXXX
29250000;Weser-Elbe Sparkasse;Bremerhaven;Weser-Elbe Sparkasse, BHV;BRLADE21BRS
29250150;Kreissparkasse Wesermünde-Hadeln;Bremerhaven;Kr Spk Wesermünde-Hadeln;BRLADE21BRK
29262722;Volksbank Geeste-Nord;Geestland;Volksbank Geeste-Nord;GENODEF1BRV
29265747;Volksbank Bremerhaven-Cuxland;Beverstedt;VB Bremerhaven-Cuxland;GENODEF1BEV
29280011;Commerzbank vormals Dresdner Bank;Bremerhaven;Commerzbank Bremerhaven;DRESDEFF292
29290034;Volksbank Bremerhaven-Wesermünde -alt-;Bremerhaven;VB Bremerh-Wesermünde -alt-;GENODEF1HBV
30000000;Bundesbank;Düsseldorf;BBk Düsseldorf;MARKDEF1300
30010111;SEB;Düsseldorf;SEB Düsseldorf;ESSEDE5F300
30010111;SEB;Neuss;SEB Neuss;ESSEDE5F303
30010111;SEB;Krefeld;SEB Krefeld;ESSEDE5F301
30010111;SEB;Langenfeld (Rheinland);SEB Langenfeld Rhld;ESSEDE5F302
30010111;SEB;Ratingen;SEB Ratingen;ESSEDE5F304
30010400;IKB Deutsche Industriebank;Düsseldorf;IKB Düsseldorf;IKBDDEDDXXX
30010444;IKB Privatkunden - IKB Deutsche Industriebank;Düsseldorf;IKB Privatkunden Düsseldorf;IKBDDEDDDIR
30010700;The Bank of Tokyo-Mitsubishi UFJ;Düsseldorf;BTMU Düsseldorf;BOTKDEDXXXX
30020500;BHF-BANK;Düsseldorf;BHF-BANK Düsseldorf;BHFBDEFF300
30020700;Mizuho Bank Filiale Düsseldorf;Düsseldorf;Mizuho Bank Düsseldorf;MHCBDEDDXXX
30020900;TARGOBANK;Düsseldorf;TARGOBANK Düsseldorf;CMCIDEDDXXX
30022000;NRW.BANK;Düsseldorf;NRW.BANK Düsseldorf;NRWBDEDMXXX
30025500;Portigon;Düsseldorf;Portigon Düsseldorf;PORTDEDDXXX
30030100;S Broker Wiesbaden;Wiesbaden;S Broker Wiesbaden;PULSDEDDXXX
30030500;Bank11direkt;Neuss;Bank11direkt Neuss;CUABDED1XXX
30030600;ETRIS Bank;Wuppertal;ETRIS Bank Wuppertal;ETRIDE31XXX
30030880;HSBC Trinkaus & Burkhardt;Düsseldorf;HSBC Trinkaus Düsseldorf;TUBDDEDDXXX
30030889;HSBC Trinkaus VAC;Düsseldorf;HSBC Trinkaus VAC;TUBDDEDDXXX
30030900;Merck Finck & Co;Düsseldorf;Merck Finck & Co Düsseldorf;MEFIDEMM300
30040000;Commerzbank;Düsseldorf;Commerzbank Düsseldorf;COBADEDDXXX
30040048;Commerzbank GF-D48;Düsseldorf;Commerzbank DDF GF-D48;COBADEFFXXX
30040060;Commerzbank Gf 660;Düsseldorf;Commerzbank Gf 660 Düsseldf;COBADEFFXXX
30040061;Commerzbank Gf 661;Düsseldorf;Commerzbank Gf 661 Düsseldf;COBADEFFXXX
30040062;Commerzbank CC;Düsseldorf;Commerzbank CC Düsseldorf;COBADEFFXXX
30040063;Commerzbank CC;Düsseldorf;Commerzbank CC Düsseldorf;COBADEFFXXX
30050000;Landesbank Hessen-Thüringen Girozentrale NL. Düsseldorf;Düsseldorf;Ld Bk Hess-Thür, Gz, Dus;WELADEDDXXX
30050110;Stadtsparkasse Düsseldorf;Düsseldorf;St Spk Düsseldorf;DUSSDEDDXXX
30060010;WGZ Bank;Düsseldorf;WGZ Bank Düsseldorf;GENODEDDXXX
30060601;apoBank;Düsseldorf;apoBank Düsseldorf;DAAEDEDDXXX
30060992;PSD Bank Rhein-Ruhr;Düsseldorf;PSD Bank Rhein-Ruhr;GENODEF1P05
30070010;Deutsche Bank;Düsseldorf;Deutsche Bank Düsseldorf;DEUTDEDDXXX
30070010;Deutsche Bank;Erkrath;Deutsche Bank Erkrath;DEUTDEDD306
30070010;Deutsche Bank;Kaarst;Deutsche Bank Kaarst;DEUTDEDD307
30070010;Deutsche Bank;Neuss;Deutsche Bank Neuss;DEUTDEDD300
30070010;Deutsche Bank;Hilden;Deutsche Bank Hilden;DEUTDEDD305
30070010;Deutsche Bank;Langenfeld (Rheinland);Deutsche Bank Langenfeld Rh;DEUTDEDD301
30070010;Deutsche Bank;Ratingen;Deutsche Bank Ratingen;DEUTDEDD304
30070010;Deutsche Bank;Meerbusch;Deutsche Bank Meerbusch;DEUTDEDD303
30070010;Deutsche Bank;Monheim am Rhein;Deutsche Bank Monheim Rhein;DEUTDEDD302
30070024;Deutsche Bank Privat und Geschäftskunden;Düsseldorf;Deutsche Bank PGK Düsseldor;DEUTDEDBDUE
30070024;Deutsche Bank Privat und Geschäftskunden;Erkrath;Deutsche Bank PGK Erkrath;DEUTDEDB306
30070024;Deutsche Bank Privat und Geschäftskunden;Hilden;Deutsche Bank PGK Hilden;DEUTDEDB305
30070024;Deutsche Bank Privat und Geschäftskunden;Kaarst;Deutsche Bank PGK Kaarst;DEUTDEDB307
30070024;Deutsche Bank Privat und Geschäftskunden;Langenfeld (Rheinland);Deutsche Bank PGK Langenfel;DEUTDEDB301
30070024;Deutsche Bank Privat und Geschäftskunden;Meerbusch;Deutsche Bank PGK Meerbusch;DEUTDEDB303
30070024;Deutsche Bank Privat und Geschäftskunden;Monheim am Rhein;Deutsche Bank PGK Monheim;DEUTDEDB302
30070024;Deutsche Bank Privat und Geschäftskunden;Neuss;Deutsche Bank PGK Neuss;DEUTDEDB300
30070024;Deutsche Bank Privat und Geschäftskunden;Ratingen;Deutsche Bank PGK Ratingen;DEUTDEDB304
30080000;Commerzbank vormals Dresdner Bank;Düsseldorf;Commerzbank Düsseldorf;DRESDEFF300
30080005;Commerzbank vormals Dresdner Bank Zw 05;Düsseldorf;Commerzbank Düsseldorf 05;DRESDEFFXXX
30080022;Commerzbank vormals Dresdner Bank Ztv 22;Düsseldorf;Commerzbank Düsseldorf 22;DRESDEFFI28
30080038;Commerzbank vormals Dresdner Bank Zw 38;Düsseldorf;Commerzbank Düsseldorf 38;DRESDEFFXXX
30080041;Commerzbank vormals Dresdner Bank Zw 41;Düsseldorf;Commerzbank Düsseldorf 41;DRESDEFFI29
30080053;Commerzbank vormals Dresdner Bank Zw 53;Düsseldorf;Commerzbank Düsseldorf 53;DRESDEFFI30
30080055;Commerzbank vormals Dresdner Bank Zw 55;Düsseldorf;Commerzbk Zw55 Düsseldorf;DRESDEFF309
30080057;Commerzbank vormals Dresdner Bank Gf ZW 57;Düsseldorf;Commerzbk ZW57 Düsseldorf;DRESDEFF316
30080061;Commerzbank vormals Dresdner Bank Zw 61;Düsseldorf;Commerzbank Düsseldorf 61;DRESDEFFI31
30080074;Commerzbank vormals Dresdner Bank Zw 74;Düsseldorf;Commerzbank Düsseldorf 74;DRESDEFFI32
30080080;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 3;Düsseldorf;Commerzbank ITGK3 Ddrf.;DRESDEFFI76
30080081;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 4;Düsseldorf;Commerzbank ITGK4 Ddrf.;DRESDEFFI77
30080082;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 5;Düsseldorf;Commerzbank ITGK5 Ddrf.;DRESDEFFI78
30080083;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 6;Düsseldorf;Commerzbank ITGK6 Ddrf.;DRESDEFFI79
30080084;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 7;Düsseldorf;Commerzbank ITGK7 Ddrf.;DRESDEFFI80
30080085;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 8;Düsseldorf;Commerzbank ITGK8 Ddrf.;DRESDEFFI81
30080086;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 9;Düsseldorf;Commerzbank ITGK9 Ddrf.;DRESDEFFI82
30080087;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 10;Düsseldorf;Commerzbank ITGK10 Ddrf.;DRESDEFFI83
30080088;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 11;Düsseldorf;Commerzbank ITGK11 Ddrf.;DRESDEFFI84
30080089;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 12;Düsseldorf;Commerzbank ITGK12 Ddrf.;DRESDEFFI85
30080095;Commerzbank vormals Dresdner Bank Zw 95;Düsseldorf;Commerzbank Düsseldorf 95;DRESDEFFI33
30089300;Commerzbank vormals Dresdner Bank ITGK I;Düsseldorf;Commerzbk ITGK I Düsseldf;DRESDEFFI02
30089302;Commerzbank vormals Dresdner Bank ITGK II;Düsseldorf;Commerzbk ITGK II Düsseld;DRESDEFFI03
30110300;Sumitomo Mitsui Banking Corporation;Düsseldorf;SMBC Düsseldorf;SMBCDEDDXXX
30120500;Bremer Kreditbank;Bremen;Bremer Kreditbank;BANVDEHB300
30130100;Demir-Halk Bank (Nederland);Düsseldorf;Demir-Halk Bank Düsseldorf;DHBNDEDDXXX
30130200;GarantiBank International;Düsseldorf;GarantiBank Int Düsseldorf;UGBIDEDDXXX
30130600;Isbank Fil Düsseldorf;Düsseldorf;Isbank Düsseldorf;ISBKDEFXDUS
30130800;Düsseldorfer Hypothekenbank;Düsseldorf;Düsseldorfer Hypothekenbank;DHYPDEDDXXX
30150200;Kreissparkasse Düsseldorf;Düsseldorf;Kr Spk Düsseldorf;WELADED1KSD
30160213;Volksbank Düsseldorf Neuss;Düsseldorf;VB Düsseldorf Neuss;GENODED1DNE
30220190;UniCredit Bank - HypoVereinsbank;Düsseldorf;UniCredit Bank-HypoVereinbk;HYVEDEMM414
30220190;UniCredit Bank - HypoVereinsbank;Münster, Westf;UniCredit Bank-HypoVereinbk;HYVEDEMM414
30220190;UniCredit Bank - HypoVereinsbank;Krefeld;UniCredit Bank-HypoVereinbk;HYVEDEMM414
30220190;UniCredit Bank - HypoVereinsbank;Bochum;UniCredit Bank-HypoVereinbk;HYVEDEMM414
30220190;UniCredit Bank - HypoVereinsbank;Recklinghausen, Westf;UniCredit Bank-HypoVereinbk;HYVEDEMM414
30220190;UniCredit Bank - HypoVereinsbank;Mönchengladbach;UniCredit Bank-HypoVereinbk;HYVEDEMM414
30220190;UniCredit Bank - HypoVereinsbank;Meerbusch;UniCredit Bank-HypoVereinbk;HYVEDEMM414
30330800;BIW Bank für Investments und Wertpapiere;Willich;BIW Bank;BIWBDE33303
30351220;Stadt-Sparkasse Haan;Haan, Rheinl;St Spk Haan;WELADED1HAA
30520000;RCI Banque Niederlassung Deutschland;Neuss;RCI Banque Ndl Deutschland;RCIDDE3NXXX
30520037;RCI Banque Direkt;Neuss;RCI Banque Direkt;RCIDDE3NPAY
30524400;KBC Bank Ndl Deutschland;Düsseldorf;KBC Bank Düsseldorf;KREDDEDDXXX
30530000;Bankhaus Werhahn;Neuss;Bankhaus Werhahn Neuss;WERHDED1XXX
30530500;Bank11 für Privatkunden und Handel, Neuss;Neuss;Bank11 Neuss;WEFZDED1XXX
30550000;Sparkasse Neuss;Neuss;Sparkasse Neuss;WELADEDNXXX
30560090;Volksbank Neuss -alt-;Neuss;Volksbank Neuss -alt-;GENODED1NSS
30560548;VR Bank;Dormagen;VR Bank Dormagen;GENODED1NLD
31010111;SEB;Mönchengladbach;SEB Mönchengladbach;ESSEDE5F310
31010833;Santander Consumer Bank;Mönchengladbach;Santander Consumer Bank MG;CCBADE31XXX
31040015;Commerzbank;Mönchengladbach;Commerzbank Mönchengladbach;COBADEFFXXX
31040060;Commerzbank CC;Mönchengladbach;Commerzbank CC Mgladbach;COBADEFFXXX
31040061;Commerzbank CC;Mönchengladbach;Commerzbank CC Mgladbach;COBADEFFXXX
31050000;Stadtsparkasse Mönchengladbach;Mönchengladbach;St Spk Mönchengladbach;MGLSDE33XXX
31060181;Gladbacher Bank von 1922;Mönchengladbach;Gladbacher Bank von 1922;GENODED1GBM
31060517;Volksbank Mönchengladbach;Mönchengladbach;VB Mönchengladbach;GENODED1MRB
31062154;Volksbank Brüggen-Nettetal;Brüggen, Niederrhein;Volksbank Brüggen-Nettetal;GENODED1KBN
31070001;Deutsche Bank;Mönchengladbach;Deutsche Bank Mönchengladb;DEUTDEDD310
31070001;Deutsche Bank;Korschenbroich;Deutsche Bank Korschenbroic;DEUTDEDD317
31070001;Deutsche Bank;Wegberg;Deutsche Bank Wegberg;DEUTDEDD318
31070001;Deutsche Bank;Erkelenz;Deutsche Bank Erkelenz;DEUTDEDD319
31070024;Deutsche Bank Privat und Geschäftskunden;Mönchengladbach;Deutsche Bank PGK Mönchengl;DEUTDEDB310
31070024;Deutsche Bank Privat und Geschäftskunden;Erkelenz;Deutsche Bank PGK Erkelenz;DEUTDEDB319
31070024;Deutsche Bank Privat und Geschäftskunden;Korschenbroich;Deutsche Bank PGK Korschenb;DEUTDEDB317
31070024;Deutsche Bank Privat und Geschäftskunden;Wegberg;Deutsche Bank PGK Wegberg;DEUTDEDB318
31080015;Commerzbank vormals Dresdner Bank;Mönchengladbach;Commerzbank Mönchengladb;DRESDEFF310
31080061;Commerzbank vormals Dresdner Bank Zw 61;Mönchengladbach;Commerzbank Mgladbach 61;DRESDEFFI34
31251220;Kreissparkasse Heinsberg in Erkelenz;Erkelenz;Kr Spk Heinsberg Erkelenz;WELADED1ERK
31261282;Volksbank Erkelenz;Erkelenz;Volksbank Erkelenz;GENODED1EHE
31263359;Raiffeisenbank Erkelenz;Erkelenz;Raiffbk Erkelenz;GENODED1LOE
31460290;Volksbank Viersen;Viersen;Volksbank Viersen;GENODED1VSN
31470004;Deutsche Bank;Viersen;Deutsche Bank Viersen;DEUTDEDD314
31470004;Deutsche Bank;Nettetal;Deutsche Bank Nettetal;DEUTDEDD315
31470004;Deutsche Bank;Grefrath, Niederrhein;Deutsche Bank Grefrath Kref;DEUTDEDD316
31470024;Deutsche Bank Privat und Geschäftskunden;Viersen;Deutsche Bank PGK Viersen;DEUTDEDB314
31470024;Deutsche Bank Privat und Geschäftskunden;Grefrath, Niederrhein;Deutsche Bank PGK Grefrath;DEUTDEDB316
31470024;Deutsche Bank Privat und Geschäftskunden;Nettetal;Deutsche Bank PGK Nettetal;DEUTDEDB315
32040024;Commerzbank;Krefeld;Commerzbank Krefeld;COBADEFFXXX
32050000;Sparkasse Krefeld;Krefeld;Sparkasse Krefeld;SPKRDE33XXX
32051996;Sparkasse der Stadt Straelen;Straelen;Sparkasse Straelen;WELADED1STR
32060362;Volksbank Krefeld;Krefeld;Volksbank Krefeld;GENODED1HTK
32061384;Volksbank an der Niers;Kevelaer;Volksbank an der Niers;GENODED1GDL
32061414;Volksbank Kempen-Grefrath;Kempen, Niederrhein;Volksbank Kempen-Grefrath;GENODED1KMP
32070024;Deutsche Bank Privat und Geschäftskunden;Krefeld;Deutsche Bank PGK Krefeld;DEUTDEDB320
32070024;Deutsche Bank Privat und Geschäftskunden;Geldern;Deutsche Bank PGK Geldern;DEUTDEDB323
32070024;Deutsche Bank Privat und Geschäftskunden;Kempen, Niederrhein;Deutsche Bank PGK Kempen;DEUTDEDB327
32070024;Deutsche Bank Privat und Geschäftskunden;Kevelaer;Deutsche Bank PGK Kevelaer;DEUTDEDB328
32070024;Deutsche Bank Privat und Geschäftskunden;Rheinberg;Deutsche Bank PGK Rheinberg;DEUTDEDB329
32070024;Deutsche Bank Privat und Geschäftskunden;Tönisvorst;Deutsche Bank PGK Tönisvors;DEUTDEDB936
32070024;Deutsche Bank Privat und Geschäftskunden;Willich;Deutsche Bank PGK Willich;DEUTDEDB322
32070024;Deutsche Bank Privat und Geschäftskunden;Xanten;Deutsche Bank PGK Xanten;DEUTDEDB321
32070080;Deutsche Bank;Krefeld;Deutsche Bank Krefeld;DEUTDEDD320
32070080;Deutsche Bank;Geldern;Deutsche Bank Geldern;DEUTDEDD323
32070080;Deutsche Bank;Kempen, Niederrhein;Deutsche Bank Kempen;DEUTDEDD327
